wallet,chain,time,transfer_type,transfer_method,token_name,token_symbol,amount,amount_usd
W25,bsc,2023-01-18 11:20:43,swap_in,in,CryptoZoon,ZOON,139.65,0.11
W25,bsc,2023-01-18 13:13:39,swap_in,in,Wrapped BNB,WBNB,0.4,120.67
W25,bsc,2023-01-18 13:13:39,swap_out,out,CryptoZoon,ZOON,142774.4424,108.79
W25,bsc,2023-01-18 13:13:39,swap_out,out,CryptoZoon,ZOON,2913.76413,2.22
W25,bsc,2023-01-18 13:51:07,swap_out,out,Wrapped BNB,WBNB,0.005852513395,1.77
W25,bsc,2023-01-18 13:51:07,swap_in,in,CryptoZoon,ZOON,2141.3,1.63
W25,bsc,2023-01-18 17:08:05,swap_out,out,Wrapped BNB,WBNB,0.01557860928,4.39
W25,bsc,2023-01-18 17:08:05,swap_in,in,CryptoZoon,ZOON,5700,4.29
W25,bsc,2023-01-18 18:41:34,swap_out,out,Wrapped BNB,WBNB,0.3005892004,88.14
W25,bsc,2023-01-18 18:41:34,swap_in,in,CryptoZoon,ZOON,110022.825,82.60
W25,bsc,2023-01-18 19:06:12,swap_out,out,Wrapped BNB,WBNB,0.007254504479,2.13
W25,bsc,2023-01-18 19:06:12,swap_in,in,CryptoZoon,ZOON,2656.296155,2.01
W25,bsc,2023-01-18 20:33:21,swap_out,out,Wrapped BNB,WBNB,0.02618793318,7.67
W25,bsc,2023-01-18 20:33:21,swap_in,in,CryptoZoon,ZOON,9589.307447,7.28
W25,bsc,2023-01-18 21:16:50,swap_out,out,Wrapped BNB,WBNB,0.002390232698,0.69
W25,bsc,2023-01-18 21:16:50,swap_in,in,CryptoZoon,ZOON,875.2678837,0.67
W25,bsc,2023-01-19 2:43:39,swap_out,out,Wrapped BNB,WBNB,0.02937293332,8.47
W25,bsc,2023-01-19 2:43:39,swap_in,in,CryptoZoon,ZOON,10756.34033,8.13
W25,bsc,2023-01-19 3:32:12,swap_out,out,Wrapped BNB,WBNB,0.004538861271,1.32
W25,bsc,2023-01-19 3:32:12,swap_in,in,CryptoZoon,ZOON,1662.193863,1.24
W25,bsc,2023-01-19 23:43:28,swap_out,out,Wrapped BNB,WBNB,0.01111308364,3.27
W25,bsc,2023-01-19 23:43:28,swap_in,in,CryptoZoon,ZOON,4069.840951,3.03
W25,bsc,2023-01-20 1:00:49,swap_in,in,Wrapped BNB,WBNB,0.011,3.23
W25,bsc,2023-01-20 1:00:49,swap_out,out,CryptoZoon,ZOON,3928.145002,2.94
W25,bsc,2023-01-20 1:00:49,swap_out,out,CryptoZoon,ZOON,80.16622453,0.06
W25,bsc,2023-01-20 18:13:46,swap_out,out,Wrapped BNB,WBNB,0.009857456079,2.88
W25,bsc,2023-01-20 18:13:46,swap_in,in,CryptoZoon,ZOON,3610,2.76
W25,bsc,2023-01-21 6:28:26,swap_out,out,Wrapped BNB,WBNB,0.0003073943124,0.09
W25,bsc,2023-01-21 6:28:26,swap_in,in,CryptoZoon,ZOON,112.575385,0.09
